 ,Area,Mean,Min,Max,Angle,Length
1,0.003,101.381,48.861,254.402,74.792,0.55
2,0.003,116.28,58.812,255,74.876,0.592
3,0.003,91.809,56.894,236.084,73.156,0.586
4,0.003,129.269,43.271,254.029,72.058,0.568
5,0.003,68.497,55.526,110.817,-103.416,0.577
6,0.003,81.373,54.841,123.333,-103.791,0.583
7,0.003,73.14,50.9,134.238,-102.693,0.586
8,0.003,64.313,53.063,100.012,-101.117,0.601
9,0.003,80.733,55.955,168.788,-104.158,0.59
10,0.003,99.009,52.373,248.337,-103.62,0.601
,,,,,,0.5834
