 ,Area,Mean,Min,Max,Angle,Length,
1,0.0009433,151.724,83.623,253.163,48.231,0.286,
2,0.0009963,169.393,118.371,254.613,47.603,0.304,
3,0.0009645,126.008,86.315,195.947,49.95,0.293,
4,0.001,151.684,80.06,249.667,45.855,0.309,
5,0.0009963,136.871,84.739,231.333,46.312,0.302,
6,0.001,136.758,88.333,239.333,46.71,0.309,
,,,,,,0.3005,MEDIA
