Name,Experiment,Min Temperature [K],Avg Temperature [K],Max Temperature [K],Min Current [A/cm2],Avg Current [A/cm2],Max Current [A/cm2],Min Restivity [𝛀 cm],Avg Restivity [𝛀 cm],Max Restivity [𝛀 cm],Min Electrical Field [V/cm],Avg Electrical Field [V/cm],Max Electrical Field [V/cm],Min Osc Amplitude [V/cm],Avg Osc Amplitude [V/cm],Max Osc Amplitude [V/cm],Min Osc Period [ms],Avg Osc Period [ms],Max Osc Period [ms],Fixed Source
CA12X2,CA12X2_current_from_100e-9_to_200e-9A_flipped-20220315160531,113.4785256680946,113.4801946104837,113.48150857811657,2.122325816937841e-06,3.1099427812554505e-06,4.09755974557306e-06,19820428.51095158,62685412.31172364,110492294.33030303,43.30150210437711,193.36516827042354,381.69229377104375,188.39242003367005,257.99371714541246,298.5360357744107,2357,2446.8936170212764,2569,False
CA12X2,CA12X2_current_from_10e-9_to_100e-9A_flipped-20220315155945,113.4686403414243,113.47099885903688,113.47253215644972,6.80825311572139e-07,1.3616506231442782e-06,2.042475934716417e-06,19740883.922817465,65000855.398934394,110185068.25081702,14.240492382154883,88.70910455121997,223.11907533670035,57.95979549663299,120.24445533715533,181.42017205387208,2951,3010.2,3090,False
CA12X2,CA12X2_current_from_0.1e-6_to_1.0e-6A-20220317151236,108.82038815864811,108.9268288726348,109.03386469956513,5.862662405204531e-06,1.0023261531478713e-05,1.4183860657752897e-05,23020536.692661412,40373733.61970004,78287020.23894863,252.12096338383836,382.95890095398437,504.6785984848485,144.15877819865318,171.18444840953396,204.92494696969698,2158,2312.866666666667,2454,False
CA12X2,CA12X2_current_from_0.1e-6_to_1.5e-6A-20220317150657,128.71906532056067,129.07370142386984,129.40131497460095,1.296509929753117e-05,1.6936580281701977e-05,2.090806126587279e-05,16093109.804892963,24226356.39467554,38569459.872906536,284.73216877104375,402.2229420244108,504.7230092592593,141.56682407407402,167.4216549172278,215.32470833333338,2368,2793.0,3949,False
CA12X2,CA12X2_current_from_1e-9_to_10e-9A_flipped-20220315155235,113.4613398953393,113.46284951027219,113.46418039925899,1.0779734099892202e-07,1.4467537870907956e-07,1.815534164192371e-07,21315983.41309821,1618802806.6020508,4678480607.098765,2.473334111952862,231.8919675855429,504.3277693602694,483.1007748737374,490.77189684932665,501.8544352483165,7835,9133.25,10709,False
CA12X2,CA12X2_current_from_1e-9_to_1000e-9A_flipped-20220315170952,113.47792946537055,113.48168885681523,113.4840082239628,2.0802995631370912e-07,3.0580403578115244e-06,5.908050759309341e-06,19821761.594109874,88751376.51656792,2178659231.1574078,4.801904713804714,181.37063073109883,500.14910774410777,59.74588594276095,246.0280551492489,486.1268638047138,2235,2670.844262295082,3832,False
CA12X2,CA12X2_current_from_200e-9_to_300e-9A_flipped-20220315161234,113.47633863504456,113.47843136439546,113.47934967540816,4.202625380074933e-06,5.032643892639732e-06,5.862662405204531e-06,20104770.980410747,49832349.6758271,91362931.28622915,85.25915993265994,248.31500869633837,432.03391414141413,298.70501388888886,308.4391889952153,314.0429730639731,2285,2425.0,2580,False
CA12X2,CA12X2_current_from_100e-9_to_200e-9A-20220315152213,113.44438044032266,113.44702876939041,113.44830055072204,2.122325816937841e-06,3.1099427812554505e-06,4.09755974557306e-06,19911229.091493055,62606959.11792916,110650091.82333334,43.334230639730634,193.14794212741452,380.7822617845118,189.8395921717172,257.577093197601,297.68138552188555,2553,2634.6666666666665,2808,False
CA12X2,CA12X2_current_from_1e-9_to_10e-9A-20220315153228,113.43608496355498,113.43688178518747,113.43739184922578,1.0779734099892202e-07,1.4467537870907956e-07,1.815534164192371e-07,20912280.2843254,1649275275.4867349,4680729847.376543,2.468238547979798,236.61607217718856,504.57023148148147,487.647514436027,497.74938208164986,502.10199293350166,8059,9254.75,10806,False
CA12X2,CA12X2_current_from_1e-9_to_10e-9A-20220315151857,113.44295966134067,113.44364951812089,113.44435184366768,1.059061595778883e-07,1.4562096941959643e-07,1.8533577926130456e-07,21223057.352576245,1496813516.5350626,4750566114.079035,2.4398525631313133,213.0208582311487,503.11421296296294,448.40999679292935,472.3625416266835,500.67436039983164,7888,9128.8,11231,False
