Name,Thickness [cm],Area [cm2],Experiment,Start Date,End Date,Min Temperature [K],Avg Temperature [K],Max Temperature [K],Min Current [A/cm2],Avg Current [A/cm2],Max Current [A/cm2],Min Restivity [𝛀 cm],Avg Restivity [𝛀 cm],Max Restivity [𝛀 cm],Min Electric Field [V/cm],Avg Electric Field [V/cm],Max Electric Field [V/cm],Oscillation,Oscillation val
CA12X2_A,0.03005,0.03069,CA12X2_A_current_from_1e-6_to_1e-5A-20220323145646,2022-03-23 14:45:49.526150,2022-03-23 14:56:29.715277,92.47392417614067,94.70775126902568,98.12287253435872,3.258390355164549e-05,0.00017773038300897544,0.00032287686246630534,6765319.115783692,7062781.411236411,7397743.589721464,241.04736362728784,1239.6403731282878,2184.719619301164,False,0
CA12X2_A,0.03005,0.03069,CA12X2_A_current_from_0.1e-6_to_1e-6A-20220323150955,2022-03-23 14:57:14.479303,2022-03-23 15:07:17.933745,90.27672390030224,91.24009728103216,92.209512945961,3.2583903551645487e-06,1.762190702282868e-05,3.198542369049281e-05,8170827.956134022,18405753.96995249,41329771.54656067,130.36386608985026,227.3750163774661,393.3690169717138,False,0
CA12X2_A,0.03005,0.03069,CA12X2_A_current_from_1e-3_to_180e-3A_flipped-20220323111827,2022-03-23 11:14:03.207567,2022-03-23 11:16:54.790877,293.9297019039309,293.96733410557954,294.02521230885293,0.03258390355164549,2.9193861060918733,5.806188308632102,5.2008064543345505,16.835106559346155,52.077413160898494,1.6968854076539102,28.747989004016873,32.34040143094842,False,0
CA12X2_A,0.030050000000000004,0.03069,CA12X2_A_at_fixed_current_0.6e-3A-20220323144033,2022-03-23 11:25:49.839847,2022-03-23 14:37:48.538302,104.30362188000677,166.92534751860026,293.41972691098727,0.019550342130987292,0.019550342130987292,0.019550342130987292,53.797115055324454,66103.54320926916,169240.53481527456,1.0517520049916804,1292.346885811714,3308.7103580698836,False,0
CA12X2_A,0.03005,0.03069,CA12X2_A_at_fixed_current_0.35e-6A-20220323160519,2022-03-23 16:05:10.913424,2022-03-23 16:05:10.913424,89.23323482732198,89.23323482732198,89.23323482732198,1.140436624307592e-05,1.140436624307592e-05,1.140436624307592e-05,18382813.46833563,18382813.46833563,18382813.46833563,209.64433737104824,209.64433737104824,209.64433737104824,False,0
CA12X2_A,0.03005,0.03069,CA12X2_A_current_from_1e-3_to_150e-3A_flipped-20220323111222,2022-03-23 11:09:15.231427,2022-03-23 11:12:08.028132,293.7592522974626,293.79173137938324,293.84548305417314,0.03258390355164549,2.435564507900774,4.838545112249902,6.153513680943728,18.758944317923834,51.488519244858566,1.6776969450915142,28.30595323222239,31.894994509151413,False,0
CA15A,0.0522,0.15223,CA15A_current_from_12e-3_to_400e-3A-20220321120002,2022-03-21 11:56:47.712217,2022-03-21 11:59:41.759678,294.94853918197515,295.0154222156766,295.1728497107151,0.07882808907574065,1.3272076221935922,2.5755871553114447,10.629267790938691,12.392110784172639,14.480315767228676,1.1098708827586206,15.82245406963797,36.81002513409961,False,0
CA15A,0.0522,0.15223,CA15A_current_from_1e-3_to_150e-3A-20220321114324,2022-03-21 11:40:45.121465,2022-03-21 11:43:05.526851,294.55989466318545,294.56948249281515,294.59901139201656,0.0065690074229783875,0.48341157189610184,0.9602541363692253,19.268872198760505,20.449337187050485,29.97739435848334,0.13229279471264366,9.993737256648,22.802925885057473,False,0
CA15A,0.0522,0.15223,CA15A_current_from_5e-3_to_450e-3A_flipped-20220321121606,2022-03-21 12:13:32.835005,2022-03-21 12:15:57.965122,295.03561613577585,295.0586735697062,295.1292397523865,0.03284503711489194,1.464620532572222,2.8963960280295526,12.511026173667606,14.307982621066506,15.87366573951525,0.5133285153256705,20.48158673528032,40.679981513409956,False,0
CA15A,0.0522,0.15223,CA15A_current_from_1e-3_to_50e-3A_flipped-20220321121129,2022-03-21 12:05:23.067932,2022-03-21 12:11:17.849470,295.1880454603444,295.2289709680967,295.2737501986927,0.0065690074229783875,0.1642251855744597,0.321881363725941,15.399015482202673,15.512794675189527,15.566241216584675,0.10225475409961686,2.543061420769411,4.9566561034482755,False,0
CA12X2_C3,0.04708,0.06525,CA12X2_C3_current_from_8e-6_to_12e-6A-20220401131850,2022-04-01 13:13:24.516033,2022-04-01 13:18:41.187144,103.34216032369099,103.36950431330423,103.39434959660716,0.00012260536398467432,0.00015263116740949254,0.00018265697083431074,1496780.7149357225,1608434.572578193,1747989.4759385623,214.31288593882755,243.81174463787215,273.39743139337304,False,0
CA12X2_C3,0.04708,0.06525,CA12X2_C3_current_from_8e-6_to_12e-6A-20220401120055,2022-04-01 11:39:24.448394,2022-04-01 11:44:37.181446,103.18671077825482,103.26499159002668,103.35645347715467,0.00012260536398467432,0.00015265723147496547,0.00018265697083431074,1512884.0997865228,1617914.7516168822,1753069.314212511,214.9357013593883,245.32736961023792,276.33882689039933,False,0
CA12X2_C3,0.04708,0.06525,CA12X2_C3_current_from_0.1e-6_to_1e-6A-20220331185052,2022-03-31 18:44:50.458178,2022-03-31 18:50:36.698858,98.82019415486043,99.58406683217393,100.46121272280043,1.532567049808429e-06,8.288372820392523e-06,1.504417859097662e-05,4683739.9146346655,4695936.41967949,4713431.440111772,7.1781454630416315,38.91017288427861,70.56970278249788,False,0
