 ,Area,Mean,Min,Max,Angle,Length
1,0.003,67.544,59,109,85.236,0.497
2,0.003,65.453,54.332,93.333,83.863,0.483
3,0.002,62.756,53.729,76.583,84.634,0.469
4,0.003,71.88,59.752,94.333,85.471,0.523
5,0.003,62.754,54.015,72.6,81.951,0.516
6,0.002,62.475,53.257,78.667,83.811,0.431
7,0.002,68.909,57.333,95.667,83.211,0.437
8,0.002,80.209,56.085,197.825,82.962,0.421
9,0.002,69.454,56.702,102,79.841,0.454
10,0.002,65.28,56.021,103.667,80.028,0.477
,,,,,,0.4708
