 ,Area,Mean,Min,Max,Angle,Length
1,4.807,254.975,254,255,0,0
2,0.001,101.02,85.746,142,124.902,0.246
3,0.001,88.941,76.799,142,32.005,0.222
4,0.001,94.714,80.846,143.667,35.538,0.243
5,0.001,89.064,79.419,114.333,35.1,0.238
6,0.001,96.404,80.695,141.667,36.193,0.239
,,,,,,0.2376
