 ,Area,Mean,Min,Max,Angle,Length
1,0.002,85.576,58.333,187.667,4.145,0.536
2,0.002,88.377,67.000,191.333,1.697,0.523
3,0.002,80.744,63.782,134.333,3.844,0.491
4,0.002,83.276,59.153,160.594,2.649,0.544
