Temperature,Resistance,Voltage
186.894484236285,6330.953839,0.06330953839
186.35329293727582,6575.6181955,0.065756181955
185.8165719649834,6834.9454805,0.068349454805
185.28029513882916,7094.566909499999,0.070945669095
184.74974386059654,7367.709934000002,0.07367709934000002
184.2320117074358,7640.053872499999,0.076400538725
183.71586262313727,7933.732643999999,0.07933732644
183.08997806529067,10371.793167,0.10371793167000001
181.85115161702228,15852.617704999995,0.15852617704999997
180.42867499944072,17793.01037,0.1779301037
178.92554520004342,19248.359549999994,0.19248359549999997
177.38221764905737,20983.67327,0.2098367327
175.8170721923989,22922.218244999996,0.22922218244999998
174.2398336254737,25259.817895,0.25259817895000003
172.65696277856495,27813.947795000004,0.27813947795000005
171.11930227461806,30538.830360000004,0.3053883036000001
169.59066695423374,33457.500985,0.33457500985
168.08805634869552,36552.900205000005,0.36552900205000005
166.6126208968553,39938.930739999996,0.3993893074
165.16466609370315,43751.2071,0.437512071
163.73984154027477,47830.015015,0.47830015015000005
162.34241357251958,52112.375195,0.52112375195
160.97212651966402,56631.60523499999,0.5663160523499999
159.62345941770755,61537.53450500001,0.6153753450500001
158.30178248575993,66564.46343999999,0.6656446344
157.00525081402915,71772.85592,0.7177285592
155.72794987068727,77331.45992499999,0.7733145992499999
154.4783534004883,82980.25006499999,0.8298025006499999
153.25065026696024,89151.56473999997,0.8915156473999998
152.0442584813569,96115.66103999999,0.9611566104
150.8637780601712,103549.76214999997,1.0354976214999998
149.7021092103019,111503.90659999999,1.115039066
148.5498417195502,119642.86765000001,1.1964286765000003
147.40669072588534,127766.92895000003,1.2776692895000004
146.30299460891624,136666.60289999997,1.366666029
145.227982619908,146104.9677,1.461049677
144.17545277138515,157073.23549999998,1.570732355
143.14035403759118,168085.31329999998,1.680853133
142.12463679323213,174843.37249999997,1.748433725
141.13284169855413,177849.11369999996,1.7784911369999996
140.1601781901513,178939.32944999993,1.7893932944999995
139.1997547098952,179853.3507,1.7985335070000001
138.25903202619298,181658.78194999998,1.8165878195
137.33514727983874,182814.0428,1.828140428
136.43636291156957,182941.0953,1.829410953
135.55376318361897,183971.486,1.8397148600000002
134.68872734980982,185622.87595,1.8562287595
133.84620370191368,186233.84094999998,1.8623384095
133.01997618075382,187483.67644999997,1.8748367645
132.20553313382965,188306.40209999998,1.8830640209999998
131.4137212755057,189209.27755,1.8920927755
130.6403356690416,189934.26760000002,1.8993426760000005
129.88357061108408,190173.26755,1.9017326755
129.1382643893333,190847.35325,1.9084735325
128.40538289387285,191925.52234999998,1.9192552235
127.68655523299401,192780.40404999992,1.9278040404999994
126.98360031180589,193201.49704999998,1.9320149704999998
126.2958941707553,193236.89104999998,1.9323689105
125.62031688302201,193112.9227,1.931129227
124.96042826294585,193694.10994999995,1.9369410994999998
124.30972522305883,194199.38244999995,1.9419938244999997
123.67581039536074,194125.13554999998,1.9412513555
123.05266857995055,199531.58479999998,1.995315848
122.43798589362984,207240.7641,2.0724076410000003
121.83763909315448,210904.07040000003,2.1090407040000003
121.25011119199311,212552.7777,2.1255277770000003
120.67530388374321,214288.18649999998,2.142881865
120.1135156602373,215448.20094999994,2.1544820094999997
119.56745416940707,215992.31049999996,2.159923105
119.0323025589624,216789.45824999997,2.1678945825
118.50711224345314,216654.53824999995,2.1665453825
117.99033728522049,217323.04464999994,2.1732304464999994
117.48418188474088,217841.20184999992,2.1784120184999995
116.9832432614032,218429.89995,2.1842989995
116.49447698788337,219275.69144999993,2.1927569144999994
116.0192809841416,220157.59684999997,2.2015759685
115.55199188518489,220554.2975499999,2.2055429754999993
115.09549668512432,221322.05340000003,2.2132205340000004
114.64296530910727,222902.70955,2.2290270955
114.19893534779503,223545.3822,2.235453822
113.77012423747563,223910.86270000006,2.2391086270000007
113.34616562644574,225616.58284999998,2.2561658285
112.93036721627496,226509.96125,2.2650996125000002
112.53016471784133,226960.98235,2.2696098235
112.13329426108476,227333.97684999995,2.2733397684999996
111.74269463353744,228175.33959999998,2.281753396
111.36711789421331,228021.66684999998,2.2802166685
111.001784642544,228722.83144999994,2.2872283144999996
110.64451934158095,229566.78075,2.2956678075
110.29513215759467,230320.50350000002,2.3032050350000004
109.95302355001158,230622.562,2.30622562
109.61818957354373,231472.58245,2.3147258245
109.29302742515328,232434.37134999997,2.3243437135
108.97357772011647,232721.79185,2.3272179185
108.66096068279303,233045.907,2.3304590700000003
108.3559171650707,233423.06979999997,2.334230698
108.0567133653265,233449.42455,2.3344942455
107.76416600641016,233616.49029999992,2.3361649029999993
107.4786622479041,234221.92055,2.3422192055
107.19818076784308,234663.36910000004,2.3466336910000005
106.9245216898195,235583.09764999998,2.3558309765
106.65663646329229,235591.39399999997,2.3559139399999998
106.39575497578365,235433.01644999997,2.3543301645
106.13996046137603,236008.41820000001,2.3600841820000005
105.89002710076497,236142.2054,2.361422054
105.63412481841628,238301.76474999994,2.3830176474999996
105.21142613603433,245309.63185000003,2.4530963185000005
104.67874716050294,246454.2847,2.464542847
104.12677704012447,247059.90749999997,2.470599075
103.57058133632412,247918.78064999994,2.4791878064999997
103.01699344596716,248590.29539999992,2.4859029539999993
102.46879091420678,250333.2524,2.503332524
101.93388659696602,248916.03574999995,2.4891603575
101.41009273298673,249957.82014999993,2.4995782014999994
100.89837351165971,250470.61635,2.5047061635000003
100.39810621936213,251596.10955000005,2.5159610955000007
99.911709726652,253621.6334,2.536216334
99.44115377453902,253021.73844999995,2.5302173844999998
98.98326950194688,253777.63224999994,2.5377763224999996
98.53512436374952,254234.08494999996,2.5423408495
