Temperature,Resistance,Voltage,Current Source
292.8180255191728,0.03900111118,3.900111118e-05,0.001
292.8193190028414,0.03881405786086957,0.0002231808327,0.00575
292.82042387659493,0.03889378024761905,0.0004083846926,0.010499999999999999
292.8213573020416,0.03889591093114754,0.0005931626416999999,0.01525
292.8225988420999,0.038900884795,0.0007780176959,0.02
292.8242374278191,0.03923810458,3.923810458e-05,0.001
292.82524045623165,0.03881178951304348,0.00022316778970000003,0.00575
292.8258015355443,0.038894699104761905,0.0004083943406,0.010499999999999999
292.82667543622154,0.03889441036721312,0.0005931397581,0.01525
292.82756933061904,0.038899418075000004,0.0007779883615,0.02
