Datetime,Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
2022-05-18 17:46:20.278637,2.41303913e-07,-0.0024130391299999995,-0.0001,3.0162989125e-06,-0.00071637099171875,-0.004210526315789474
2022-05-18 17:46:20.904088,1.09492705e-07,-0.0011060430606598985,-9.899497487437187e-05,1.3686588125e-06,-0.0003283565336334073,-0.004168209468394605
2022-05-18 17:46:21.495410,3.14420307e-07,-0.003208699543230769,-9.798994974874372e-05,3.9302538375e-06,-0.0009525826768966344,-0.004125892620999736
2022-05-18 17:46:22.088109,1.46504727e-07,-0.0015105927809844558,-9.698492462311559e-05,1.8313090875e-06,-0.0004484572318547603,-0.004083575773604867
2022-05-18 17:46:22.662371,6.2799063e-08,-0.0006542939024607329,-9.597989949748744e-05,7.849882874999999e-07,-0.0001942435022930301,-0.004041258926209997
2022-05-18 17:46:23.231964,2.2940359e-07,-0.002415413460846561,-9.49748743718593e-05,2.867544875e-06,-0.0007170758711888228,-0.003998942078815128
2022-05-18 17:46:23.809045,1.68389249e-07,-0.0017919497620855613,-9.396984924623117e-05,2.1048656125e-06,-0.000531985085619151,-0.00395662523142026
2022-05-18 17:46:24.378997,1.38436738e-07,-0.001489130316864865,-9.296482412060302e-05,1.7304592250000002e-06,-0.00044208556281925674,-0.0039143083840253905
2022-05-18 17:46:24.962709,2.2335261e-07,-0.0024288070704918028,-9.195979899497488e-05,2.791907625e-06,-0.000721052099052254,-0.0038719915366305212
2022-05-18 17:46:25.592268,2.70348806e-07,-0.002972343226187845,-9.095477386934673e-05,3.379360075e-06,-0.0008824143952745166,-0.003829674689235652
2022-05-18 17:46:26.186660,2.11452286e-07,-0.0023507823974301674,-8.99497487437186e-05,2.643153575e-06,-0.000697888524237081,-0.003787357841840783
2022-05-18 17:46:26.782063,2.76803219e-07,-0.0031120813887570626,-8.894472361809045e-05,3.4600402375000002e-06,-0.0009238991622872529,-0.0037450409944459135
2022-05-18 17:46:27.353365,2.60969737e-07,-0.0029675987236,-8.793969849246232e-05,3.2621217125e-06,-0.0008810058710687499,-0.0037027241470510446
2022-05-18 17:46:27.927372,2.03989353e-07,-0.002346467124104046,-8.693467336683418e-05,2.5498669125e-06,-0.0006966074274683886,-0.003660407299656176
