Temperature,Resistance,Voltage
294.94771208951187,350.4717618,0.0035047176180000006
285.70250486918087,351.24054279999996,0.0035124054279999997
284.53613455260444,352.28125379999994,0.0035228125379999998
284.3484237494125,353.1563554,0.003531563554
279.1715415140752,353.0461209999999,0.0035304612099999995
279.145381865738,353.76748349999997,0.003537674835
277.0205808399466,371.5456743,0.003715456743
275.3631839105341,455.4862189,0.004554862189
272.1177242343413,506.1647835,0.005061647835
276.46571986877365,539.5062514999998,0.005395062514999999
275.9516143115084,563.0472179,0.005630472179
265.3391922964698,582.5324574,0.005825324574
257.73560026638575,602.602393,0.006026023930000001
263.5543581011052,620.1055647000001,0.006201055647000001
272.14548424819355,635.1545345000001,0.006351545345000001
271.0024209529339,647.3729021999999,0.006473729021999999
267.0146223080179,663.9082876,0.006639082876000001
265.65295015996156,679.8707009999999,0.00679870701
261.35993048076944,697.6093684999998,0.0069760936849999995
259.92936034267757,721.5927472,0.007215927472
257.4381802843984,746.0584427999997,0.007460584427999998
254.48152499666944,770.1264766999999,0.007701264766999999
253.11215340813732,796.9653703999999,0.007969653703999999
249.94031904816543,826.7730711999999,0.008267730712
248.8290475621699,839.0931996999998,0.008390931996999999
248.3226910787986,870.1573459999998,0.008701573459999999
246.88554964355845,907.6824415999998,0.009076824415999999
246.13572815828502,948.953964,0.009489539640000001
243.8312069176367,991.9591435000001,0.009919591435000001
242.9750786432283,1039.0645719999998,0.01039064572
240.0799523647457,1100.0404359999998,0.011000404359999999
240.49306146602703,1152.5757449999999,0.01152575745
239.92104564228134,1220.2307279999998,0.01220230728
239.69711548227443,1285.3062669999997,0.012853062669999998
236.45409681013098,1363.4785630000001,0.013634785630000002
235.84600389944035,1445.2508679999996,0.014452508679999998
234.1030613440786,1524.811006,0.01524811006
231.89710364771167,1611.754376,0.016117543760000002
234.58163718410796,1711.3809240000003,0.017113809240000003
240.54692203469327,1827.2877389999996,0.018272877389999997
239.18925026375933,1955.857974,0.019558579740000002
235.22975854783354,2087.0568439999997,0.020870568439999997
232.49204260724696,2219.3622389999996,0.022193622389999997
227.8249863182974,2358.4600199999995,0.023584600199999996
228.7302396198119,1738.8252908458996,0.017388252908459
229.53087226671292,-2.4574968583999994,-2.4574968583999995e-05
233.1958035434704,-2.7204059041999993,-2.7204059041999997e-05
231.76387483034478,-2.0548290772,-2.0548290772e-05
231.88402172484857,-0.7976463713,-7.976463713000001e-06
222.394430939792,-2.1103486518000003,-2.1103486518000004e-05
212.03358643820502,-3.8635215339999993,-3.8635215339999994e-05
211.24350766392973,3954.287386,0.03954287386
212.8858566001606,4218.864824999999,0.042188648249999995
213.29438873479404,4500.505550999999,0.045005055509999996
212.11664663052383,4870.703345,0.048707033450000006
212.04451340113465,5325.354872,0.05325354872
212.11083647418496,5888.585353999999,0.05888585354
211.04333712700821,6386.097498000001,0.06386097498000001
210.29271822643068,6885.877602999999,0.06885877603
209.04664317029057,7286.509343999998,0.07286509343999999
208.4482469629304,7636.837479999999,0.0763683748
207.83054041030255,7984.620210000001,0.07984620210000001
207.1408819359534,8377.789544,0.08377789544
205.22287234185947,8791.300339,0.08791300339
203.46397909381216,9242.451201999998,0.09242451201999999
202.47383460866226,9795.873689,0.09795873689000001
200.59775615175755,10299.17251,0.10299172510000001
198.11230208080906,10805.17585,0.1080517585
197.01202489761508,11358.370429999999,0.1135837043
198.35069995046328,11868.39641,0.1186839641
200.5347666752455,12384.430939999998,0.12384430939999999
198.58873380555514,12925.656879999997,0.12925656879999997
195.6430784610831,13529.354640000001,0.13529354640000002
199.93466842920006,14121.513860000001,0.1412151386
198.85839207711942,14699.095519999999,0.1469909552
197.13200124970146,15324.83437,0.1532483437
193.93288005094394,15972.59697,0.15972596970000003
193.3794573290451,16611.64868,0.1661164868
192.80306032592426,17263.27871,0.17263278710000002
192.80427436403204,17985.53473,0.17985534730000002
192.8218053324866,18805.945219999998,0.1880594522
192.3250870372057,19637.693289999996,0.19637693289999997
190.6107954337228,20335.89303,0.20335893030000002
190.48509040491837,20998.023319999997,0.20998023319999998
189.32332886455464,21723.065639999997,0.2172306564
186.7276018511237,22595.36617,0.22595366170000003
187.02842620589732,23413.25896,0.2341325896
186.66048264957948,24280.813189999997,0.2428081319
185.36269025652473,25420.507169999993,0.25420507169999995
182.227668053762,52430.45229999999,0.524304523
181.28574657891596,148461.4197,1.484614197
180.36163259646622,197446.27199999994,1.9744627199999996
180.17758125019208,217857.93849999996,2.178579385
179.75720216239378,227337.42910000004,2.2733742910000005
180.86085221241893,231856.1001,2.3185610010000004
179.0019738242127,239236.5334,2.392365334
179.2408300363445,245544.34259999997,2.455443426
179.34346383097468,251980.21089999995,2.5198021089999996
180.31342987320855,257994.46399999998,2.57994464
181.66979964006683,267416.8315,2.674168315
182.54202459020576,273137.47119999997,2.731374712
186.2214988452675,277636.87069999997,2.776368707
185.5945469202252,292122.4093,2.921224093
183.87269303642844,289498.4323,2.894984323
182.4956053047534,303333.83550000004,3.0333383550000006
181.68647036126512,314101.9085999999,3.1410190859999996
180.95990377359607,321969.702,3.2196970200000004
179.69824366681135,325410.2883999999,3.2541028839999995
178.69621090922826,326732.08459999994,3.2673208459999996
178.21230165948367,339404.7358999999,3.3940473589999995
177.41410480981168,343437.3543,3.4343735430000004
177.9582918000912,346589.9504,3.4658995040000002
177.23133464469623,354075.3321,3.5407533210000004
176.71870750469571,358230.5474999999,3.5823054749999996
175.62856644958978,368696.704,3.6869670400000003
175.60304209956547,377081.67259999993,3.7708167259999996
180.77241142617143,384923.6002,3.849236002
