 ,Area,Mean,Min,Max,Angle,Length
1,4.022E-4,129.754,63.758,253.612,52.431,0.161
2,3.782E-4,108.284,51.231,228.202,52.206,0.152
3,3.602E-4,169.916,92.796,254.921,54.689,0.144
4,4.022E-4,156.079,71.729,254.995,54.260,0.161
5,3.902E-4,121.650,58.821,254.110,53.940,0.156
