Datetime,Temperature [K],Voltage [V],Resistance [𝛀],Current Source [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
2023-05-22 13:37:27.206624,191.38759848915615,20.9955547,1193747.252942857,1.7587939698492464e-05,328.0555421875,2033100.7901683035,0.00016135724494029783
2023-05-22 13:37:27.716477,191.3770270121658,20.9955517,1044528.6970749999,2.0100502512562815e-05,328.0554953125,1778962.9372058592,0.00018440827993176895
2023-05-22 13:37:28.227892,191.36606585500522,20.9956107,928472.5620666667,2.2613065326633167e-05,328.0564171875,1581304.8322697917,0.00020745931492324005
2023-05-22 13:37:28.747611,191.35552033816614,20.9955782,835624.01236,2.5125628140703518e-05,328.055909375,1423172.146050625,0.00023051034991471118
2023-05-22 13:37:29.253552,191.34471456399126,20.99557,759657.8963636364,2.763819095477387e-05,328.05578125,1293792.3547443182,0.0002535613849061823
2023-05-22 13:37:29.764086,191.33409085521922,20.9955171,696351.3171499999,3.0150753768844224e-05,328.0549546875,1185973.3370210936,0.00027661241989765346
2023-05-22 13:37:30.264415,191.32383050791105,20.9955497,642786.8292769231,3.2663316582914576e-05,328.0554640625,1094746.3186122593,0.00029966345488912456
2023-05-22 13:37:30.764717,191.31325847692264,20.9955466,596873.3962,3.517587939698493e-05,328.055415625,1016550.002903125,0.00032271448988059566
2023-05-22 13:37:31.259811,191.30315397157432,20.9955756,557082.6059199999,3.768844221105528e-05,328.05586874999995,948781.3132074998,0.00034576552487206676
2023-05-22 13:37:31.779956,191.29211413907228,20.9955543,522264.41321249993,4.020100502512563e-05,328.0555359375,889481.578752539,0.0003688165598635379
2023-05-22 13:37:32.299396,191.28146382187708,20.9955288,491542.3801411764,4.271356783919598e-05,328.0551375,837158.1161779411,0.000391867594855009
2023-05-22 13:37:32.832180,191.27037193017802,20.9954932,464233.68297777773,4.522613065326633e-05,328.05458124999996,790647.9913215276,0.0004149186298464801
2023-05-22 13:37:33.346413,191.25948738723554,20.9955309,439801.1209578947,4.7738693467336685e-05,328.05517031249997,749036.2841314144,0.00043796966483795126
2023-05-22 13:37:33.864528,191.24868119488696,20.9955288,417811.02311999997,5.0251256281407036e-05,328.0551375,711584.39875125,0.00046102069982942236
2023-05-22 13:37:34.372476,191.23816037311045,20.9955278,397915.24116190476,5.276381909547739e-05,328.055121875,677699.395103869,0.00048407173482089346
2023-05-22 13:37:34.873166,191.22787306543404,20.9955064,379827.7976,5.527638190954774e-05,328.0547875,646894.2177874999,0.0005071227698123646
2023-05-22 13:37:35.387057,191.21701472709336,20.9954973,363313.3880608696,5.778894472361809e-05,328.0546453125,618768.1140411685,0.0005301738048038357
2023-05-22 13:37:35.886973,191.20649363056026,20.99548,348175.0433333333,6.030150753768845e-05,328.054375,592985.6206770831,0.0005532248397953069
2023-05-22 13:37:36.409219,191.19599859322204,20.9954688,334247.863296,6.28140703517588e-05,328.05420000000004,569265.892176,0.000576275874786778
2023-05-22 13:37:36.912019,191.1855030291183,20.9954444,321391.8027384615,6.532663316582915e-05,328.05381875,547370.4140389422,0.0005993269097782491
2023-05-22 13:37:37.411308,191.1750596760412,20.9954535,309488.5367777778,6.78391959798995e-05,328.0539609375,527097.6641996527,0.0006223779447697203
2023-05-22 13:37:37.917343,191.16479798382315,20.9954785,298435.7301071428,7.035175879396985e-05,328.0543515625,508273.3528387277,0.0006454289797611913
2023-05-22 13:37:38.427474,191.15419885105965,20.9954765,288144.8154137931,7.28643216080402e-05,328.05432031249995,490746.63875161624,0.0006684800147526625
2023-05-22 13:37:38.935845,191.1435991895919,20.9954735,278539.9484333333,7.537688442211056e-05,328.0542734375,474388.34967552085,0.0006915310497441335
2023-05-22 13:37:39.463723,191.1327915276235,20.9954806,269554.87996129034,7.788944723618091e-05,328.054384375,459085.6549340725,0.0007145820847356047
2023-05-22 13:37:39.970548,191.12195805279458,20.9954317,261130.68176875,8.040201005025126e-05,328.0536203125,444738.19238740235,0.0007376331197270758
2023-05-22 13:37:40.490783,191.11148843468328,20.9954592,253217.96247272726,8.291457286432161e-05,328.05404999999996,431261.84233636357,0.0007606841547185469
2023-05-22 13:37:40.993129,191.10094026809602,20.9954704,245770.50644705878,8.542713567839196e-05,328.054225,418577.893792647,0.000783735189710018
2023-05-22 13:37:41.514772,191.09013266057366,20.9954766,238748.56248,8.793969849246232e-05,328.05432187499997,406618.6454737499,0.0008067862247014892
2023-05-22 13:37:42.028602,191.07979222428173,20.9954511,232116.37605,9.045226130653267e-05,328.0539234375,395323.2029601562,0.0008298372596929602
2023-05-22 13:37:42.532213,191.06911388624997,20.9954145,225842.56678378375,9.296482412060302e-05,328.0533515625,384638.12155363173,0.0008528882946844314
2023-05-22 13:37:43.033761,191.05856578542358,20.9954399,219899.6073736842,9.547738693467337e-05,328.0537484375,374516.5188083059,0.0008759393296759025
